user_id,prd_id,ranking
consequat.dolor.vitae@augueporttitor.ca,sandwiches,1
consequat.dolor.vitae@augueporttitor.ca,stews,1
consequat.dolor.vitae@augueporttitor.ca,salads,1
consequat.dolor.vitae@augueporttitor.ca,pies,1
turpis.Aliquam@tristiquepharetraQuisque.co.uk,salads,1
turpis.Aliquam@tristiquepharetraQuisque.co.uk,noodles,1
turpis.Aliquam@tristiquepharetraQuisque.co.uk,desserts,1
turpis.Aliquam@tristiquepharetraQuisque.co.uk,stews,1
facilisis.eget@senectus.ca,noodles,1
facilisis.eget@senectus.ca,seafood,1
facilisis.eget@senectus.ca,salads,1
ac.urna@elitNullafacilisi.org,salads,1
